combo,weight
As3s2d2s,99
5c3s2c2s,100
5h3s2h2s,100
3d3s2c2s,100
3d3s2h2s,100
4c3c3s2s,100
4h3h3s2s,100
5c3c3s2s,100
5h3h3s2s,100
3c3s2d2s,100
3h3s2d2s,100
Qc4c3s2s,1
Qh4h3s2s,1
6c5c3s2s,100
6h5h3s2s,100
KcKd3s2s,100
KdKh3s2s,100
KcKh3s2s,100
Jd3s2d2s,3
Ad3s2d2s,100
Qd3d3s2s,25
Ad3d3s2s,100
6d4d3s2s,100
Kd4d3s2s,100
Ad4d3s2s,100
Ad6d3s2s,100
Ad8d3s2s,100
Ad9d3s2s,100
JdTd3s2s,100
QdTd3s2s,100
AdTd3s2s,100
QdJd3s2s,100
AdJd3s2s,100
AdQd3s2s,100
AdKd3s2s,100
As5c4s2s,100
As5h4s2s,100
As4s2d2s,100
As4d4s2s,5
AsQd4s2s,100
4c4s2c2s,100
4h4s2c2s,100
4c4s2h2s,100
4h4s2h2s,100
5c4s2c2s,100
5h4s2c2s,100
5c4s2h2s,100
5h4s2h2s,100
4d4s2c2s,100
4d4s2h2s,100
Qc4s3c2s,1
Qh4s3h2s,1
5c4c4s2s,53
5h4c4s2s,53
5c4h4s2s,53
5h4h4s2s,53
Kc4c4s2s,100
Kh4h4s2s,100
4c4s2d2s,100
4h4s2d2s,100
Ac5c4s2s,100
Ah5h4s2s,100
5c4s2d2s,100
5h4s2d2s,100
5c4d4s2s,5
5h4d4s2s,5
8c6c4s2s,100
8h6h4s2s,100
Ac7c4s2s,100
Ah7h4s2s,100
KcKd4s2s,100
KdKh4s2s,100
KcKh4s2s,100
AcAd4s2s,100
AdAh4s2s,100
Qd4s2d2s,100
Ad4s2d2s,100
6d4s3d2s,100
Kd4s3d2s,100
Ad4s3d2s,100
6d4d4s2s,100
Ad4d4s2s,100
8d6d4s2s,100
Kd6d4s2s,100
Ad6d4s2s,100
Ad8d4s2s,100
Ad9d4s2s,100
JdTd4s2s,100
QdTd4s2s,100
AdTd4s2s,100
QdJd4s2s,100
AdJd4s2s,100
KdQd4s2s,100
AdQd4s2s,100
AdKd4s2s,100
6s5s2c2s,5
6s5s2h2s,5
6s5s2d2s,5
As5s2c2s,100
As5s2h2s,100
As5s2d2s,100
As5s4d2s,100
AsQd5s2s,100
5s3c2c2s,100
5s3h2h2s,100
5s4c2c2s,100
5s4h2c2s,100
5s4c2h2s,100
5s4h2h2s,100
6c5s2c2s,100
6h5s2c2s,100
6c5s2h2s,100
6h5s2h2s,100
8c5s2c2s,100
8h5s2h2s,100
9c5s2c2s,100
9h5s2h2s,100
Ac5s2c2s,100
Ah5s2h2s,100
5s4d2c2s,100
5s4d2h2s,100
6d5s2c2s,100
6d5s2h2s,100
5c5s3c2s,100
5h5s3h2s,100
5c5s4c2s,51
5h5s4c2s,51
5c5s4h2s,51
5h5s4h2s,51
Ac5s4c2s,100
Ah5s4h2s,100
5s4c2d2s,100
5s4h2d2s,100
6c5c5s2s,64
6h5c5s2s,64
6c5h5s2s,64
6h5h5s2s,64
7c5c5s2s,100
7h5h5s2s,100
8c5c5s2s,100
8h5h5s2s,100
Kc5c5s2s,100
Kh5h5s2s,100
Ac5c5s2s,100
Ah5h5s2s,100
5c5s2d2s,100
5h5s2d2s,100
5c5s4d2s,3
5h5s4d2s,3
6d5c5s2s,28
6d5h5s2s,28
Qc6c5s2s,100
Qh6h5s2s,100
Ac6c5s2s,100
Ah6h5s2s,100
6c5s2d2s,100
6h5s2d2s,100
Ac8c5s2s,100
Ah8h5s2s,100
JcTc5s2s,100
JhTh5s2s,100
QcQd5s2s,100
QdQh5s2s,100
KcKh5s2s,100
Qd5s2d2s,100
Kd5s2d2s,100
Ad5s2d2s,100
Kd5s3d2s,100
Ad5s3d2s,100
6d5s4d2s,100
Ad5s4d2s,100
8d6d5s2s,100
9d6d5s2s,100
Ad6d5s2s,100
9d8d5s2s,100
Kd8d5s2s,17
Ad8d5s2s,100
Ad9d5s2s,100
KdTd5s2s,100
AdTd5s2s,100
KdJd5s2s,100
AdJd5s2s,100
KdQd5s2s,100
AdQd5s2s,100
QdQs6s2s,100
6s3c2c2s,100
6s3h2h2s,100
6s5c2c2s,100
6s5h2c2s,100
6s5c2h2s,100
6s5h2h2s,100
6c6s2c2s,100
6h6s2c2s,100
6c6s2h2s,100
6h6s2h2s,100
7c6s2c2s,100
7h6s2h2s,100
Kc6s2c2s,100
Kh6s2h2s,100
6d6s2c2s,100
6d6s2h2s,100
6s5c3c2s,100
6s5h3h2s,100
6c6s3c2s,1
6h6s3h2s,1
Ac6s3c2s,100
Ah6s3h2s,100
6c6s4c2s,100
6h6s4h2s,100
8c6s4c2s,100
8h6s4h2s,100
6c6s5c2s,50
6h6s5c2s,50
6c6s5h2s,50
6h6s5h2s,50
9c6s5c2s,100
9h6s5h2s,100
Qc6s5c2s,100
Qh6s5h2s,100
Ac6s5c2s,100
Ah6s5h2s,100
6s5c2d2s,100
